Date,Time,Temperature,Humidity,Moisture,Luminance
2023-04-30,21:43:42,20.64,50.29,0.199,0.0193
2023-04-30,21:43:43,20.64,50.29,0.199,0.0193
2023-04-30,21:43:47,20.66,50.26,0.198,0.044
2023-04-30,21:43:47,20.64,50.26,0.198,0.044
2023-04-30,21:43:52,20.66,50.24,0.199,0.043
2023-04-30,21:43:52,20.66,50.24,0.199,0.043
2023-04-30,21:43:57,20.66,50.22,0.199,0.0249
2023-04-30,21:43:57,20.66,50.22,0.199,0.043
2023-04-30,21:44:02,20.68,50.23,0.198,0.0193
2023-04-30,21:44:02,20.68,50.23,0.199,0.043
2023-04-30,21:44:07,20.67,50.23,0.199,0.0271
2023-04-30,21:44:07,20.67,50.23,0.199,0.0183
2023-04-30,21:44:12,20.67,50.23,0.198,0.0286
2023-04-30,21:44:12,20.67,50.23,0.198,0.0286
2023-04-30,21:44:17,20.67,50.23,0.198,0.0286
2023-04-30,21:44:17,20.67,50.23,0.198,0.0286
2023-04-30,21:44:22,20.67,50.2,0.199,0.0193
2023-04-30,21:44:22,20.67,50.2,0.199,0.0193
2023-04-30,21:44:27,20.68,50.21,0.199,0.0286
2023-04-30,21:44:27,20.67,50.21,0.199,0.0286
2023-04-30,21:44:32,20.69,50.18,0.199,0.0346
2023-04-30,21:44:32,20.69,50.18,0.199,0.0346
2023-04-30,21:44:37,20.66,50.21,0.199,0.043
2023-04-30,21:44:37,20.66,50.21,0.198,0.043
2023-04-30,21:44:42,20.68,50.21,0.199,0.044
2023-04-30,21:44:42,20.68,50.23,0.199,0.044
2023-04-30,21:44:47,20.68,50.19,0.199,0.0277
2023-04-30,21:44:47,20.68,50.19,0.199,0.0277
2023-04-30,21:44:52,20.66,50.2,0.199,0.043
2023-04-30,21:44:52,20.66,50.2,0.199,0.043
2023-04-30,21:44:57,20.68,50.19,0.198,0.0346
2023-04-30,21:44:57,20.68,50.19,0.199,0.0346
2023-04-30,21:45:02,20.68,50.2,0.199,0.0277
2023-04-30,21:45:02,20.67,50.2,0.199,0.0277
2023-04-30,21:45:07,20.69,50.15,0.199,0.0353
2023-04-30,21:45:07,20.68,50.15,0.199,0.0353
2023-04-30,21:45:12,20.67,50.15,0.199,0.0277
2023-04-30,21:45:12,20.67,50.15,0.199,0.0277
2023-04-30,21:45:17,20.69,50.18,0.199,0.04
2023-04-30,21:45:17,20.69,50.15,0.199,0.04
2023-04-30,21:45:22,20.66,50.14,0.199,0.0267
2023-04-30,21:45:22,20.66,50.13,0.199,0.0267
2023-04-30,21:45:27,20.67,50.14,0.199,0.0261
2023-04-30,21:45:27,20.67,50.14,0.199,0.0261
